Trial,Step,Censored_Node,Avg_RTT,Packet_Loss
7,39,n45,0,100
7,40,n43,0,100
7,41,n22,0,100
7,42,n42,0,100
7,43,n6,0,100
7,44,n26,0,100
7,45,n28,0,100
7,46,n37,0,100
7,47,n44,0,100
7,48,n41,0,100
8,0,None,353.046,0
8,1,n23,354.629,0
8,2,n14,355.018,0
8,3,n6,355.878,0
8,4,n41,355.063,0
8,5,n28,354.416,0
8,6,n34,355.353,0
8,7,n9,354.134,0
8,8,n11,354.439,0
8,9,n20,355.226,0
8,10,n37,354.563,0
8,11,n5,355.56,0
8,12,n30,354.024,0
8,13,n12,355.69,0
8,14,n44,355.61,0
8,15,n0,355.691,0
8,16,n26,354.539,0
8,17,n4,355.457,0
8,18,n17,354.961,0
8,19,n49,352.771,0
8,20,n18,0,100
8,21,n42,546.878,20
8,22,n16,0,100
8,23,n47,0,100
8,24,n1,0,100
8,25,n19,0,100
8,26,n31,0,100
8,27,n36,0,100
8,28,n43,0,100
8,29,n45,0,100
8,30,n8,0,100
8,31,n38,0,100
8,32,n25,0,100
8,33,n27,0,100
8,34,n10,0,100
8,35,n29,0,100
8,36,n3,0,100
8,37,n39,0,100
8,38,n21,0,100
8,39,n35,0,100
8,40,n22,0,100
8,41,n15,0,100
8,42,n40,0,100
8,43,n7,0,100
8,44,n24,0,100
8,45,n2,0,100
8,46,n32,0,100
8,47,n48,0,100
8,48,n13,0,100
9,0,None,297.893,0
9,1,n4,298.945,0
9,2,n17,298.266,0
9,3,n38,298.332,0
9,4,n42,298.18,0
9,5,n37,298.311,0
9,6,n19,297.277,0
9,7,n27,298.405,0
9,8,n24,298.511,0
9,9,n16,298.092,0
9,10,n11,298.157,0
9,11,n20,297.811,0
9,12,n44,298.462,0
9,13,n48,298.598,0
9,14,n10,298.05,0
9,15,n7,297.547,0
9,16,n28,298.136,0
9,17,n15,297.067,0
9,18,n13,298.246,0
9,19,n43,298.184,0
9,20,n40,296.989,0
9,21,n23,297.558,0
9,22,n26,298.527,0
9,23,n9,0,100
9,24,n18,0,100
9,25,n49,0,100
9,26,n29,0,100
9,27,n3,0,100
9,28,n46,0,100
9,29,n2,0,100
9,30,n32,0,100
9,31,n30,0,100
9,32,n34,0,100
9,33,n5,0,100
9,34,n45,0,100
9,35,n12,0,100
9,36,n1,0,100
9,37,n6,0,100
9,38,n36,0,100
9,39,n41,0,100
9,40,n22,0,100
